New York city,New York,8537673
Los Angeles city,California,3976322
Chicago city,Illinois,2704958
Houston city,Texas,2303482
Phoenix city,Arizona,1615017
Philadelphia city,Pennsylvania,1567872
San Antonio city,Texas,1492510
San Diego city,California,1406630
Dallas city,Texas,1317929
San Jose city,California,1025350
Austin city,Texas,947890
Jacksonville city,Florida,880619
San Francisco city,California,870887
Columbus city,Ohio,860090
Indianapolis city (balance),Indiana,855164
Fort Worth city,Texas,854113
Charlotte city,North Carolina,842051
Seattle city,Washington,704352
Denver city,Colorado,693060
El Paso city,Texas,683080
Washington city,District of Columbia,681170
Boston city,Massachusetts,673184
Detroit city,Michigan,672795
Nashville-Davidson metropolitan government (balance),Tennessee,660388
Memphis city,Tennessee,652717
Portland city,Oregon,639863
Oklahoma City city,Oklahoma,638367
Las Vegas city,Nevada,632912
Louisville/Jefferson County metro government (balance),Kentucky,616261
Baltimore city,Maryland,614664
Milwaukee city,Wisconsin,595047
Albuquerque city,New Mexico,559277
Tucson city,Arizona,530706
Fresno city,California,522053
Sacramento city,California,495234
Mesa city,Arizona,484587
Kansas City city,Missouri,481420
Atlanta city,Georgia,472522
Long Beach city,California,470130
Colorado Springs city,Colorado,465101
Raleigh city,North Carolina,458880
Miami city,Florida,453579
Virginia Beach city,Virginia,452602
Omaha city,Nebraska,446970
Oakland city,California,420005
Minneapolis city,Minnesota,413651
Tulsa city,Oklahoma,403090
Arlington city,Texas,392772
New Orleans city,Louisiana,391495
Wichita city,Kansas,389902
Cleveland city,Ohio,385809
Tampa city,Florida,377165
Bakersfield city,California,376380
Aurora city,Colorado,361710
Urban Honolulu CDP,Hawaii,351792
Anaheim city,California,351043
Santa Ana city,California,334217
Corpus Christi city,Texas,325733
Riverside city,California,324722
Lexington-Fayette urban county,Kentucky,318449
St. Louis city,Missouri,311404
Stockton city,California,307072
Pittsburgh city,Pennsylvania,303625
St. Paul city,Minnesota,302398
Cincinnati city,Ohio,298800
Anchorage municipality,Alaska,298192
Henderson city,Nevada,292969
Greensboro city,North Carolina,287027
Plano city,Texas,286057
Newark city,New Jersey,281764
Lincoln city,Nebraska,280364
Toledo city,Ohio,278508
Orlando city,Florida,277173
Chula Vista city,California,267172
Irvine city,California,266122
Fort Wayne city,Indiana,264488
Jersey City city,New Jersey,264152
Durham city,North Carolina,263016
St. Petersburg city,Florida,260999
Laredo city,Texas,257156
Buffalo city,New York,256902
Madison city,Wisconsin,252551
Lubbock city,Texas,252506
Chandler city,Arizona,247477
Scottsdale city,Arizona,246645
Glendale city,Arizona,245895
Reno city,Nevada,245255
Norfolk city,Virginia,245115
Winston-Salem city,North Carolina,242203
North Las Vegas city,Nevada,238702
Irving city,Texas,238289
Chesapeake city,Virginia,237940
Gilbert town,Arizona,237133
Hialeah city,Florida,236387
Garland city,Texas,234943
Fremont city,California,233136
Baton Rouge city,Louisiana,227715
Richmond city,Virginia,223170
Boise City city,Idaho,223154
San Bernardino city,California,216239
Spokane city,Washington,215973
Des Moines city,Iowa,215472
Modesto city,California,212175
Birmingham city,Alabama,212157
Tacoma city,Washington,211277
Fontana city,California,209665
Rochester city,New York,208880
Oxnard city,California,207906
Moreno Valley city,California,205499
Fayetteville city,North Carolina,204759
Aurora city,Illinois,201110
Glendale city,California,200831
Yonkers city,New York,200807
Huntington Beach city,California,200652
Montgomery city,Alabama,200022
Amarillo city,Texas,199582
Little Rock city,Arkansas,198541
Akron city,Ohio,197633
Columbus city,Georgia,197485
Augusta-Richmond County consolidated government (balance),Georgia,197081
Grand Rapids city,Michigan,196445
Shreveport city,Louisiana,194920
Salt Lake City city,Utah,193744
Huntsville city,Alabama,193079
Mobile city,Alabama,192904
Tallahassee city,Florida,190894
Grand Prairie city,Texas,190682
Overland Park city,Kansas,188966
Knoxville city,Tennessee,186239
Port St. Lucie city,Florida,185132
Worcester city,Massachusetts,184508
Brownsville city,Texas,183823
Tempe city,Arizona,182498
Santa Clarita city,California,181972
Newport News city,Virginia,181825
Cape Coral city,Florida,179804
Providence city,Rhode Island,179219
Fort Lauderdale city,Florida,178752
Chattanooga city,Tennessee,177571
Rancho Cucamonga city,California,176534
Oceanside city,California,175464
Santa Rosa city,California,175155
Garden Grove city,California,174858
Vancouver city,Washington,174826
Sioux Falls city,South Dakota,174360
Ontario city,California,173212
McKinney city,Texas,172298
Elk Grove city,California,169743
Jackson city,Mississippi,169148
Pembroke Pines city,Florida,168587
Salem city,Oregon,167419
Springfield city,Missouri,167319
Corona city,California,166785
Eugene city,Oregon,166575
Fort Collins city,Colorado,164207
Peoria city,Arizona,164173
Frisco city,Texas,163656
Cary town,North Carolina,162320
Lancaster city,California,160106
Hayward city,California,158937
Palmdale city,California,157356
Salinas city,California,157218
Alexandria city,Virginia,155810
Lakewood city,Colorado,154393
Springfield city,Massachusetts,154074
Pasadena city,Texas,153351
Sunnyvale city,California,152771
Macon-Bibb County,Georgia,152555
Pomona city,California,152494
Hollywood city,Florida,151998
Kansas City city,Kansas,151709
Escondido city,California,151613
Clarksville city,Tennessee,150287
Joliet city,Illinois,148262
Rockford city,Illinois,147651
Torrance city,California,147195
Naperville city,Illinois,147122
Paterson city,New Jersey,147000
Savannah city,Georgia,146763
Bridgeport city,Connecticut,145936
Mesquite city,Texas,143736
Killeen city,Texas,143400
Syracuse city,New York,143378
McAllen city,Texas,142212
Pasadena city,California,142059
Bellevue city,Washington,141400
Fullerton city,California,140721
Orange city,California,140504
Dayton city,Ohio,140489
Miramar city,Florida,138449
Thornton city,Colorado,136703
West Valley City city,Utah,136574
Olathe city,Kansas,135473
Hampton city,Virginia,135410
Warren city,Michigan,135125
Midland city,Texas,134610
Waco city,Texas,134432
Charleston city,South Carolina,134385
Columbia city,South Carolina,134309
Denton city,Texas,133808
Carrollton city,Texas,133351
Surprise city,Arizona,132677
Roseville city,California,132671
Sterling Heights city,Michigan,132427
Murfreesboro city,Tennessee,131947
Gainesville city,Florida,131591
Cedar Rapids city,Iowa,131127
Visalia city,California,131074
Coral Springs city,Florida,130059
New Haven city,Connecticut,129934
Stamford city,Connecticut,129113
Thousand Oaks city,California,128888
Concord city,California,128726
Elizabeth city,New Jersey,128640
Lafayette city,Louisiana,127626
Kent city,Washington,127514
Topeka city,Kansas,126808
Simi Valley city,California,126327
Santa Clara city,California,125948
Athens-Clarke County unified government (balance),Georgia,123371
Hartford city,Connecticut,123243
Victorville city,California,122265
Abilene city,Texas,122225
Norman city,Oklahoma,122180
Vallejo city,California,121299
Berkeley city,California,121240
Round Rock city,Texas,120892
Ann Arbor city,Michigan,120782
Fargo city,North Dakota,120762
Columbia city,Missouri,120612
Allentown city,Pennsylvania,120443
Evansville city,Indiana,119477
Beaumont city,Texas,118299
Odessa city,Texas,117871
Wilmington city,North Carolina,117525
Arvada city,Colorado,117453
Independence city,Missouri,117030
Provo city,Utah,116868
Lansing city,Michigan,116020
El Monte city,California,115807
Springfield city,Illinois,115715
Fairfield city,California,114756
Clearwater city,Florida,114361
Peoria city,Illinois,114265
Rochester city,Minnesota,114011
Carlsbad city,California,113952
Westminster city,Colorado,113875
West Jordan city,Utah,113699
Pearland city,Texas,113570
Richardson city,Texas,113347
Downey city,California,113267
Miami Gardens city,Florida,113058
Temecula city,California,113054
Costa Mesa city,California,112822
College Station city,Texas,112141
Elgin city,Illinois,112123
Murrieta city,California,111674
Gresham city,Oregon,111523
High Point city,North Carolina,111223
Antioch city,California,110898
Inglewood city,California,110654
Cambridge city,Massachusetts,110651
Lowell city,Massachusetts,110558
Manchester city,New Hampshire,110506
Billings city,Montana,110323
Pueblo city,Colorado,110291
Palm Bay city,Florida,110104
Centennial city,Colorado,109932
Richmond city,California,109813
San Buenaventura (Ventura) city,California,109592
Pompano Beach city,Florida,109393
North Charleston city,South Carolina,109298
Everett city,Washington,109043
Waterbury city,Connecticut,108272
West Palm Beach city,Florida,108161
Boulder city,Colorado,108090
West Covina city,California,107847
Broken Arrow city,Oklahoma,107403
Clovis city,California,106583
Daly City city,California,106472
Lakeland city,Florida,106420
Santa Maria city,California,106290
Norwalk city,California,106178
Sandy Springs city,Georgia,105703
Hillsboro city,Oregon,105164
Green Bay city,Wisconsin,105139
Tyler city,Texas,104798
Wichita Falls city,Texas,104724
Lewisville city,Texas,104659
Burbank city,California,104447
Greeley city,Colorado,103990
San Mateo city,California,103959
El Cajon city,California,103768
Jurupa Valley city,California,103541
Rialto city,California,103314
Davenport city,Iowa,102612
League City city,Texas,102010
Davie town,Florida,101871
Las Cruces city,New Mexico,101759
South Bend city,Indiana,101735
Vista city,California,101659
Renton city,Washington,100953
San Angelo city,Texas,100702
Roanoke city,Virginia,99660
Kenosha city,Wisconsin,99631
Tuscaloosa city,Alabama,99543
Allen city,Texas,99179
Erie city,Pennsylvania,98593
Sparks city,Nevada,98345
Vacaville city,California,98303
Albany city,New York,98111
Beaverton city,Oregon,97590
Compton city,California,97550
Orem city,Utah,97499
Flint city,Michigan,97386
Federal Way city,Washington,96757
Mission Viejo city,California,96396
Spokane Valley city,Washington,96340
Boca Raton city,Florida,96114
Lee's Summit city,Missouri,96076
Rio Rancho city,New Mexico,96028
Sandy city,Utah,95836
Brockton city,Massachusetts,95630
Meridian city,Idaho,95623
South Gate city,California,95538
Lawrence city,Kansas,95358
San Marcos city,California,95261
Portsmouth city,Virginia,95252
New Bedford city,Massachusetts,95032
Yuma city,Arizona,94906
Lawton city,Oklahoma,94653
Roswell city,Georgia,94598
Dearborn city,Michigan,94444
Livonia city,Michigan,94041
Yakima city,Washington,93986
Sunrise city,Florida,93734
Hesperia city,California,93724
Quincy city,Massachusetts,93688
Longmont city,Colorado,92858
Carson city,California,92797
Plantation city,Florida,92706
Lynn city,Massachusetts,92697
Santa Monica city,California,92478
Santa Barbara city,California,91930
Miami Beach city,Florida,91917
Redding city,California,91808
Chico city,California,91567
Westminster city,California,91565
Greenville city,North Carolina,91495
Nampa city,Idaho,91382
Edmond city,Oklahoma,91191
Bend city,Oregon,91122
Carmel city,Indiana,91065
San Leandro city,California,90465
Fishers city,Indiana,90127
Deltona city,Florida,90124
Concord city,North Carolina,89891
Tracy city,California,89274
Suffolk city,Virginia,89273
Asheville city,North Carolina,89121
Livermore city,California,89115
Newton city,Massachusetts,89045
Fall River city,Massachusetts,88930
Menifee city,California,88531
Indio city,California,88488
Norwalk city,Connecticut,88438
Waukegan city,Illinois,88182
Sugar Land city,Texas,88177
Fort Smith city,Arkansas,88133
Hawthorne city,California,88031
Nashua city,New Hampshire,87882
Chino city,California,87776
Kirkland city,Washington,87701
Edinburg city,Texas,87650
Reading city,Pennsylvania,87575
Bellingham city,Washington,87574
Citrus Heights city,California,87432
Whittier city,California,86883
Ogden city,Utah,86701
Newport Beach city,California,86688
Champaign city,Illinois,86637
Duluth city,Minnesota,86293
O'Fallon city,Missouri,86274
Clifton city,New Jersey,85845
Alhambra city,California,85474
Bloomington city,Minnesota,85319
Palm Coast city,Florida,85109
Danbury city,Connecticut,84992
Hoover city,Alabama,84978
Redwood City city,California,84950
Bloomington city,Indiana,84465
Hemet city,California,84281
Mount Pleasant town,South Carolina,84170
Trenton city,New Jersey,84056
Santa Fe city,New Mexico,83875
Johns Creek city,Georgia,83873
Fayetteville city,Arkansas,83826
Troy city,Michigan,83641
Mission city,Texas,83563
Bryan city,Texas,83260
Lake Forest city,California,83240
Buena Park city,California,83156
Largo city,Florida,83065
Cicero town,Illinois,82992
Avondale city,Arizona,82881
Sioux City city,Iowa,82872
Merced city,California,82594
St. George city,Utah,82318
Conroe city,Texas,82286
Pleasanton city,California,82270
Longview city,Texas,82055
Medford city,Oregon,81636
Warwick city,Rhode Island,81579
Westland city,Michigan,81545
Somerville city,Massachusetts,81322
Melbourne city,Florida,81185
Lakewood city,California,81138
Farmington Hills city,Michigan,81129
Cranston city,Rhode Island,81034
Kennewick city,Washington,80454
Mountain View city,California,80447
Napa city,California,80416
Tustin city,California,80395
Lynchburg city,Virginia,80212
Lawrence city,Massachusetts,80209
Deerfield Beach city,Florida,79764
Brooklyn Park city,Minnesota,79707
New Rochelle city,New York,79557
Parma city,Ohio,79425
Alameda city,California,78906
Chino Hills city,California,78822
Springdale city,Arkansas,78557
Bloomington city,Illinois,78005
Bellflower city,California,77790
Racine city,Wisconsin,77571
Milpitas city,California,77528
Auburn city,Washington,77472
Pharr city,Texas,77320
Scranton city,Pennsylvania,77291
Folsom city,California,77271
Goodyear city,Arizona,77258
Plymouth city,Minnesota,77216
Fort Myers city,Florida,77146
Hammond city,Indiana,77134
Manteca city,California,76908
Loveland city,Colorado,76897
Lake Charles city,Louisiana,76848
Upland city,California,76684
St. Joseph city,Missouri,76472
Baldwin Park city,California,76464
Gary city,Indiana,76424
Perris city,California,76331
Baytown city,Texas,75992
Kalamazoo city,Michigan,75984
Layton city,Utah,75655
San Ramon city,California,75639
Boynton Beach city,Florida,75569
Wyoming city,Michigan,75567
Gastonia city,North Carolina,75536
Arlington Heights village,Illinois,75525
Union City city,California,75322
Bethlehem city,Pennsylvania,75293
Evanston city,Illinois,74895
Jonesboro city,Arkansas,74889
Franklin city,Tennessee,74794
Missouri City city,Texas,74561
Bolingbrook village,Illinois,74518
Schaumburg village,Illinois,74446
Camden city,New Jersey,74420
Iowa City city,Iowa,74398
Warner Robins city,Georgia,74388
Appleton city,Wisconsin,74370
Rapid City city,South Dakota,74048
New Braunfels city,Texas,73959
Albany city,Georgia,73801
Temple city,Texas,73600
Flower Mound town,Texas,73547
Rochester Hills city,Michigan,73422
Southfield city,Michigan,73100
Rock Hill city,South Carolina,72937
Turlock city,California,72796
Decatur city,Illinois,72706
New Britain city,Connecticut,72558
Apple Valley town,California,72553
Bismarck city,North Dakota,72417
Missoula city,Montana,72364
Waukesha city,Wisconsin,72363
Rancho Cordova city,California,72326
Gulfport city,Mississippi,72076
Lafayette city,Indiana,71782
Lauderhill city,Florida,71626
Flagstaff city,Arizona,71459
Wilmington city,Delaware,71442
Pawtucket city,Rhode Island,71427
Canton city,Ohio,71323
Redlands city,California,71288
Lynwood city,California,71187
Pittsburg city,California,70679
Passaic city,New Jersey,70635
Pasco city,Washington,70579
Frederick city,Maryland,70060
Weston city,Florida,70015
North Richland Hills city,Texas,69798
Maple Grove city,Minnesota,69576
Kissimmee city,Florida,69369
Union City city,New Jersey,69296
St. Charles city,Missouri,69293
Walnut Creek city,California,69122
South Jordan city,Utah,69034
Muncie city,Indiana,69010
Cedar Park city,Texas,68918
Woodbury city,Minnesota,68820
Palatine village,Illinois,68766
Bossier City city,Louisiana,68485
Dothan city,Alabama,68468
Mount Vernon city,New York,68344
Eau Claire city,Wisconsin,68339
Yorba Linda city,California,68235
Davis city,California,68111
Homestead city,Florida,67996
Waterloo city,Iowa,67934
Redondo Beach city,California,67867
Jacksonville city,North Carolina,67784
Gaithersburg city,Maryland,67776
Victoria city,Texas,67670
St. Cloud city,Minnesota,67641
Marysville city,Washington,67626
Greenville city,South Carolina,67453
Delray Beach city,Florida,67371
Camarillo city,California,67363
Georgetown city,Texas,67140
Kenner city,Louisiana,67089
Palo Alto city,California,67024
Jackson city,Tennessee,67005
South San Francisco city,California,66980
Rockville city,Maryland,66940
Portland city,Maine,66937
Yuba City city,California,66845
Johnson City city,Tennessee,66677
Daytona Beach city,Florida,66645
Oshkosh city,Wisconsin,66579
Broomfield city,Colorado,66529
Eagan city,Minnesota,66428
North Little Rock city,Arkansas,66278
Bayonne city,New Jersey,66238
Ames city,Iowa,66191
Mansfield city,Texas,65631
Harlingen city,Texas,65539
Alpharetta city,Georgia,65338
Laguna Niguel city,California,65328
San Clemente city,California,65309
Conway city,Arkansas,65300
Bowling Green city,Kentucky,65234
Tamarac city,Florida,65199
Shawnee city,Kansas,65194
Rogers city,Arkansas,65021
Schenectady city,New York,64913
East Orange city,New Jersey,64789
Lodi city,California,64641
Buckeye city,Arizona,64629
West Des Moines city,Iowa,64560
Santa Cruz city,California,64465
Madera city,California,64444
Youngstown city,Ohio,64312
North Port city,Florida,64274
Skokie village,Illinois,64270
Lake Elsinore city,California,64205
Janesville city,Wisconsin,64159
Cheyenne city,Wyoming,64019
Eden Prairie city,Minnesota,63914
Wellington village,Florida,63900
Jupiter town,Florida,63813
Sammamish city,Washington,63773
Lorain city,Ohio,63730
Pico Rivera city,California,63635
Montebello city,California,63335
Encinitas city,California,63131
Auburn city,Alabama,63118
Waltham city,Massachusetts,63002
Blaine city,Minnesota,62892
Haverhill city,Massachusetts,62873
Rocklin city,California,62787
Tulare city,California,62779
Council Bluffs city,Iowa,62524
Redmond city,Washington,62458
Coon Rapids city,Minnesota,62359
North Miami city,Florida,62139
Hamilton city,Ohio,62127
Rowlett city,Texas,61999
San Marcos city,Texas,61980
Lakeville city,Minnesota,61938
Springfield city,Oregon,61893
Grand Junction city,Colorado,61881
La Habra city,California,61664
Moore city,Oklahoma,61415
Burnsville city,Minnesota,61290
Taylor city,Michigan,61177
Eastvale city,California,61151
National City city,California,61147
Lehi city,Utah,61130
Port Orange city,Florida,61105
Monterey Park city,California,61075
Marietta city,Georgia,60941
Terre Haute city,Indiana,60852
Malden city,Massachusetts,60840
Lakewood city,Washington,60665
Utica city,New York,60652
Cupertino city,California,60643
Brentwood city,California,60532
Petaluma city,California,60530
Vineland city,New Jersey,60525
Taylorsville city,Utah,60436
Idaho Falls city,Idaho,60211
Noblesville city,Indiana,60183
Bristol city,Connecticut,60147
West Allis city,Wisconsin,60087
Gardena city,California,60048
La Mesa city,California,59948
St. Clair Shores city,Michigan,59775
Pontiac city,Michigan,59698
Meriden city,Connecticut,59622
Dublin city,California,59583
Coconut Creek city,Florida,59405
Casper city,Wyoming,59324
Owensboro city,Kentucky,59273
Ocala city,Florida,59253
Chapel Hill town,North Carolina,59246
Pflugerville city,Texas,59245
Lancaster city,Pennsylvania,59218
Novi city,Michigan,59211
Great Falls city,Montana,59178
Springfield city,Ohio,59087
Woodland city,California,59068
Royal Oak city,Michigan,59006
Porterville city,California,58978
San Rafael city,California,58954
Huntington Park city,California,58879
Orland Park village,Illinois,58862
Ankeny city,Iowa,58627
Bartlett city,Tennessee,58622
Sanford city,Florida,58605
Dubuque city,Iowa,58531
Arcadia city,California,58523
Bowie city,Maryland,58393
White Plains city,New York,58241
Des Plaines city,Illinois,58141
Doral city,Florida,57947
Margate city,Florida,57870
Santee city,California,57834
Kokomo city,Indiana,57799
Castle Rock town,Colorado,57666
Grand Forks city,North Dakota,57339
Midwest City city,Oklahoma,57305
St. Peters city,Missouri,57289
Medford city,Massachusetts,57213
Corvallis city,Oregon,57110
Hendersonville city,Tennessee,57050
New Brunswick city,New Jersey,56910
Taunton city,Massachusetts,56843
Tinley Park village,Illinois,56831
Diamond Bar city,California,56793
Smyrna city,Georgia,56664
Sarasota city,Florida,56610
Greenwood city,Indiana,56545
Fountain Valley city,California,56529
Valdosta city,Georgia,56474
Oak Lawn village,Illinois,56257
Novato city,California,56004
Chicopee city,Massachusetts,55991
Weymouth Town city,Massachusetts,55972
Dearborn Heights city,Michigan,55761
Berwyn city,Illinois,55748
Bradenton city,Florida,55687
Hempstead village,New York,55555
Hanford city,California,55547
Rocky Mount city,North Carolina,55466
Port Arthur city,Texas,55427
Shoreline city,Washington,55333
Kettering city,Ohio,55306
Anderson city,Indiana,55130
Decatur city,Alabama,55072
Gilroy city,California,55069
Richland city,Washington,54989
Manhattan city,Kansas,54983
Highland city,California,54939
Paramount city,California,54909
Commerce City city,Colorado,54869
Huntersville town,North Carolina,54839
Euless city,Texas,54769
Pocatello city,Idaho,54746
Carson City,Nevada,54742
Colton city,California,54712
Casa Grande city,Arizona,54534
West Haven city,Connecticut,54516
Rosemead city,California,54500
Blue Springs city,Missouri,54431
Hoboken city,New Jersey,54379
Normal town,Illinois,54264
Bonita Springs city,Florida,54198
Mount Prospect village,Illinois,54171
Cathedral City city,California,54056
Watsonville city,California,53796
Pensacola city,Florida,53779
Palm Beach Gardens city,Florida,53778
Lake Havasu City city,Arizona,53743
Elyria city,Ohio,53715
Bellevue city,Nebraska,53505
Wheaton city,Illinois,53389
West New York town,New Jersey,53343
Yucaipa city,California,53309
Southaven city,Mississippi,53214
Albany city,Oregon,53211
Revere city,Massachusetts,53157
Caldwell city,Idaho,53149
Harrisonburg city,Virginia,53078
West Sacramento city,California,52981
Lenexa city,Kansas,52903
Kingsport city,Tennessee,52806
Burlington city,North Carolina,52709
Delano city,California,52707
Leesburg town,Virginia,52607
DeSoto city,Texas,52599
Milford city (balance),Connecticut,52536
Perth Amboy city,New Jersey,52499
Peabody city,Massachusetts,52491
Brookhaven city,Georgia,52444
Minnetonka city,Minnesota,52369
Palm Desert city,California,52231
Placentia city,California,52228
Elkhart city,Indiana,52221
Joplin city,Missouri,52195
Pinellas Park city,Florida,52137
La Crosse city,Wisconsin,52109
Grapevine city,Texas,51971
Apple Valley city,Minnesota,51957
Tigard city,Oregon,51902
Glendora city,California,51851
Florissant city,Missouri,51776
Oak Park village,Illinois,51774
Hoffman Estates village,Illinois,51738
Kentwood city,Michigan,51689
Battle Creek city,Michigan,51534
Grand Island city,Nebraska,51517
Aliso Viejo city,California,51424
Edina city,Minnesota,51350
Olympia city,Washington,51202
Parker town,Colorado,51163
Enid city,Oklahoma,51004
Burien city,Washington,50997
Coral Gables city,Florida,50815
Logan city,Utah,50676
Plainfield city,New Jersey,50636
Cerritos city,California,50555
Galveston city,Texas,50550
Coeur d'Alene city,Idaho,50285
Lakewood city,Ohio,50279
Poway city,California,50077
Troy city,New York,49702
Charleston city,West Virginia,49138
Saginaw city,Michigan,48984
Niagara Falls city,New York,48632
